epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants
116,2021-04-18,Brazil,DF,TOTAL,38,7210,1062,366708,7210,366708,239.11639,12161.70503,0.01966,348450,661,782118,25938.58987,360178,11945.14053,140433,4657.39695
116,2021-04-18,Brazil,ES,TOTAL,37,8673,1331,416932,8666,416886,215.81875,10374.92690,0.02080,386306,242843,1223143,30436.66405,593299,14763.63953,148226,3688.45259
116,2021-04-18,Brazil,GO,TOTAL,11,13676,644,524413,13672,524021,194.86050,7472.02264,0.02608,499729,427613,1044078,14876.39409,730489,10408.26667,236027,3362.99651
116,2021-04-18,Brazil,MA,TOTAL,42,6866,717,255998,6866,255998,97.04345,3618.25372,0.02682,230904,2815,619742,8759.38015,681194,9627.93743,220828,3121.16397
116,2021-04-18,Brazil,MG,TOTAL,369,30309,4315,1279549,30309,1279549,143.17776,6044.50675,0.02369,1165442,2675975,3605959,17034.31717,2591742,12243.22164,911733,4306.96774
116,2021-04-18,Brazil,MS,TOTAL,31,5224,699,237714,5193,237015,187.98224,8553.98336,0.02198,219268,2538,723933,26050.25718,424980,15292.62832,174681,6285.78194
116,2021-04-18,Brazil,MT,TOTAL,53,9084,653,342896,8930,340876,260.69992,9840.70443,0.02649,320566,48576,1039067,29819.97815,319062,9156.69718,110420,3168.92172
116,2021-04-18,Brazil,PA,TOTAL,34,11900,320,451192,11866,450872,138.32601,5244.67140,0.02637,421399,720,980727,11400.00453,938666,10911.08602,348518,4051.18527
116,2021-04-18,Brazil,PB,TOTAL,30,6444,893,280063,6444,280063,160.37323,6969.98875,0.02301,194389,77408,763570,19003.13255,578608,14399.94306,193020,4803.73069
116,2021-04-18,Brazil,PE,TOTAL,33,13212,1346,382164,13212,382164,138.24319,3998.75652,0.03457,324576,8487,1493167,15623.68847,1165159,12191.59092,410094,4291.00087
116,2021-04-18,Brazil,PI,TOTAL,22,4780,1286,227910,4758,226624,146.03326,6962.85348,0.02097,220534,3678,653212,19956.20835,351887,10750.46124,104171,3182.51683
116,2021-04-18,Brazil,PR,TOTAL,52,20349,1239,906990,20349,906990,177.96988,7932.42444,0.02244,648889,12241,2874680,25141.60233,1373605,12013.38259,426758,3732.37367
